11;Agriculteurs sur petite exploitation
12;Agriculteurs sur moyenne exploitation
13;Agriculteurs sur grande exploitation
21;Artisans
22;Commerçants et assimilés
23;Chefs d'entreprise de 10 salariés ou plus
31;Professions libérales
33;Cadres de la fonction publique
34;Professeurs, professions scientifiques
35;Professions de l'information, des arts et des spectacles
37;Cadres administratifs et commerciaux d'entreprise
38;Ingénieurs et cadres techniques d'entreprise
42;Professeurs des écoles, instituteurs et assimilés
43;Professions intermédiaires de la santé et  du travail social
44;Clergé, religieux
45;Professions intermédiaires administratives de la fonction publique
46;Professions intermédiaires administratives et commerciales des entreprises
47;Techniciens
48;Contremaîtres, agents de maîtrise
52;Employés civils et agents de service de la fonction publique
53;Policiers et militaires
54;Employés administratifs d'entreprise
55;Employés de commerce
56;Personnels des services directs aux particuliers
62;Ouvriers qualifiés de type industriel
63;Ouvriers qualifiés de type artisanal
64;Chauffeurs
65;Ouvriers qualifiés de la manutention, du magasinage et du transport
67;Ouvriers non qualifiés de type industriel
68;Ouvriers non qualifiés de type artisanal
69;Ouvriers agricoles
71;Anciens agriculteurs exploitants
72;Anciens artisans, commerçants, chefs d'entreprise
74;Anciens cadres
75;Anciennes professions intermédiaires
77;Anciens employés
78;Anciens ouvriers
81;Chômeurs n'ayant jamais travaillé
83;Militaires du contingent
84;Elèves, étudiants
85;Personnes diverses sans activité  professionnelle de moins de 60 ans (sauf retraités)
86;Personnes diverses sans activité professionnelle de 60 ans et plus (sauf retraités)
99;Inconnue
